CountID,CountID_Type,obs_20to5,obs_5to6,obs_6to7,obs_7to8,obs_8to9,obs_9to10,obs_10to14,obs_14to15,obs_15to16,obs_16to17,obs_17to18,obs_18to20,obs_total
6,6H,988,84,161,191,207,227,1347,601,956,1072,1074,1586,8494
128,128G,7284,3553,4884,3819,3381,3916,15292,3873,4039,3986,3706,5037,62770
72,72H,1213,173,363,361,288,294,1339,554,640,762,840,1078,7905
7,7H,953,314,966,1095,896,728,2170,685,797,785,724,961,11074
69,69G,11692,3272,3006,2289,2339,2864,15126,4603,4539,4706,4556,7001,65993
58,58G,8730,3161,3577,3506,3539,3572,14045,3687,3721,3655,3504,5068,59765
71,71G,11854,3595,4321,4396,4359,4007,16219,4284,4125,4030,3870,6860,71920
65,65H,1699,507,1262,1214,1075,874,2688,804,939,1021,1076,1359,14518
68,68H,1215,242,418,519,453,416,2027,699,838,839,768,1278,9712
94,94H,753,98,173,197,181,177,1082,461,821,1002,1035,1213,7193
6,6G,10268,1694,2913,3652,3628,3334,15410,4975,4915,4765,4642,8205,68401
74,74G,13637,2608,3189,3310,3069,3074,15104,4584,4514,4466,4055,7502,69112
54,54H,2034,249,474,539,481,484,2849,1303,1584,1571,1535,2354,15457
73,73G,11552,3377,3990,3978,3930,3660,14936,4014,3833,3736,3631,6486,67123
15,15G,12550,1768,3266,4180,4156,3913,18535,6154,6368,5844,5733,10082,82549
54,54G,10108,1929,2972,3096,2843,2702,12935,3326,3042,2875,2847,5583,54258
14,14H,711,289,959,1319,1267,968,2093,637,769,766,672,862,11312
94,94G,7312,1713,2727,3109,2807,2602,11687,3686,3872,3791,3648,5664,52618
113,113G,6693,2570,3086,2775,2800,2774,11479,3566,3688,3694,3357,4648,51130
64,64G,8625,1720,2766,3029,2883,2668,11641,3092,3090,3027,2890,5267,50698
63,63G,9000,3005,3019,2412,2485,2926,13396,3599,3589,3563,3419,5090,55503
15,15H,1035,108,247,295,298,287,1561,699,1184,1286,1229,1670,9899
136,136H,1909,547,1334,1450,1310,992,3076,901,1016,1065,1095,1481,16176
72,72G,14453,2645,3261,3427,3201,3226,16137,4937,4972,5021,4704,8183,74167
71,71H,769,286,601,626,438,335,1358,442,539,532,481,735,7142
95,95H,942,305,980,1059,813,568,1734,651,790,809,756,896,10303
10,10H,1175,140,293,311,301,334,1781,752,1221,1373,1346,1847,10874
61,61H,2231,264,500,755,612,524,3180,1309,1495,1505,1477,2427,16279
58,58H,1868,550,1377,1526,1412,1040,2981,840,946,986,1006,1402,15934
130,130G,12058,1771,3072,3759,3821,3782,17778,5676,5883,5224,4814,9078,76716
50,50H,1421,350,785,977,959,670,1925,569,653,642,645,967,10563
61,61G,10144,2057,3215,3369,3169,2972,13366,3540,3496,3456,3323,6123,58230
183,183H,696,253,815,1078,1073,903,2230,698,822,801,666,888,10923
63,63H,1831,531,1303,1314,1180,934,2909,866,998,1061,1108,1432,15467
69,69H,1510,372,1010,970,760,626,1942,655,813,913,994,1182,11747
183,183G,8942,3214,5201,5177,5043,5054,18808,4727,4724,4460,4022,6348,75720
7,7G,7612,3231,4201,3735,3567,3655,14206,3696,3755,3733,3524,5127,60042
136,136G,9040,3134,3439,3052,3092,3341,14028,3755,3802,3788,3631,5270,59372
3,3H,2259,258,486,596,491,499,2975,1272,1520,1533,1491,2438,15818
49,49H,1390,187,353,367,367,359,1992,994,1263,1248,1214,1747,11481
10,10G,10370,1575,2732,3404,3360,3159,15137,5011,4658,4320,4175,7952,65853
130,130H,830,135,306,342,343,339,1654,670,1062,1221,1191,1441,9534
128,128H,839,322,1040,1127,888,761,2189,678,819,798,717,886,11064
64,64H,2655,391,645,782,734,701,3572,1179,1365,1385,1317,2255,16981
42,42H,1257,278,688,976,983,743,1996,629,815,821,798,1063,11047
3,3G,9774,1916,2994,3113,2892,2753,12846,3408,3298,3265,3180,5757,55196
65,65G,8349,2913,2785,2100,2197,2655,12287,3211,3187,3182,3073,4635,50574
50,50G,6260,2406,3211,3299,3395,3229,11301,2875,2909,2696,2477,3694,47752
49,49G,7612,1359,2026,2065,1952,1967,9932,2508,1993,1702,1709,4078,38903
14,14G,8740,3591,5636,5066,4954,5134,18810,4728,4904,4823,4449,6385,77220
73,73H,502,256,560,572,369,265,1027,327,434,437,373,541,5663
62,62G,9513,1976,3124,3311,3116,2881,12798,3412,3352,3285,3154,5800,55722
68,68G,11117,2682,4106,4610,4370,3819,15896,4395,4318,4173,3999,7014,70499
41,41H,1219,192,412,499,504,443,2107,972,1354,1378,1340,1677,12097
113,113H,753,233,810,809,530,304,1096,458,573,603,569,674,7412
123,123H,832,82,154,168,170,189,1144,476,771,935,945,1205,7071
41,41G,13521,2568,4435,4716,4454,4435,20595,5545,4908,4246,4063,8670,82156
42,42G,10938,3314,5577,6187,6203,5930,21837,5724,5754,5292,4850,7721,89327
74,74H,1300,175,348,354,285,294,1382,554,650,801,916,1077,8136
123,123G,8563,1556,2575,3275,3121,2851,13013,4207,4594,4419,4126,6875,59175
95,95G,6486,2759,2999,2258,2389,2833,12312,3458,3485,3444,3101,4499,50023
170,170G,3717,472,1372,2640,2946,2287,7168,2026,2535,2981,2687,4104,34935
168,168G,4867,641,1108,1609,1787,1748,7468,2317,2962,3518,3139,4759,35923
20,20G,3718,526,1367,2423,2616,2291,6534,1642,1759,1986,2115,2987,29964
173,173G,2705,319,926,1941,2316,1767,5008,1325,1580,1765,1740,2732,24124
169,169G,3906,840,2214,3709,3982,3508,8688,2083,2264,2148,1780,2994,38116
22,22G,3594,369,1145,2403,2874,2224,6545,1848,2388,2979,3083,4474,33926
165,165G,3351,414,1139,2234,2559,2022,6046,1705,2215,2617,2385,3741,30428
170,170H,3551,603,1272,1475,1432,1500,6012,1541,1340,1196,1035,2534,23491
131,131G,4562,1159,1901,2860,3645,3758,9899,2395,2820,3232,3266,4151,43648
160,160H,901,193,465,1087,1554,1609,3229,575,602,600,553,844,12212
16,16G,2880,844,2215,3703,4205,3939,8055,1691,1843,1677,1400,2226,34678
26,26H,2077,105,229,417,450,414,1867,587,597,601,584,1450,9378
165,165H,3551,603,1272,1475,1432,1500,6012,1541,1340,1196,1035,2534,23491
171,171G,3568,341,1055,2488,3015,2646,6351,1608,1838,2008,2088,2864,29870
166,166G,3588,347,1101,2518,2999,2593,6303,1609,1819,1976,1993,2806,29652
