ScreenLineID,Year_2014
101,114000
102,113000
103,123000
104,114000
105,125000
106,112000
107,121000
108,111000
109,128000
110,118000
111,136000
112,131000
113,145000
114,130000
115,142000
116,127000
117,143000
118,104000
119,173000
120,166000
121,157000
122,192000
123,173000
124,190000
125,159000
126,164000
127,219000
128,203000
129,174000
130,199000
131,187000
132,164000
133,186000
134,173000
135,153000
136,183000
137,173000
138,195000
139,203000
140,206000
141,187000
142,213000
143,229000
144,165000
145,183000
146,185000
147,180000
148,197000
149,185000
150,226000
151,178000
152,228000
153,232000
154,147000
155,123000
156,181000
157,205000
158,191000
159,189000
160,208000
161,155000
162,188000
163,203000
164,169000
165,186000
166,157000
167,168000
168,152000
169,174000
170,183000
171,208000
172,194000
173,170000
174,189000
175,169000
176,184000
177,158000
178,178000
179,163000
180,198000
181,168000
182,156000
183,139000
184,192000
185,160000
186,182000
187,147000
188,172000
189,167000
190,192000
191,157000
192,180000
193,166000
194,123000
195,149000
196,129000
197,129000
198,146000
199,116000
200,129000
201,106000
202,116000
203,92000
204,103000
205,70000
206,85000
207,71000
208,78000
209,73000
210,76000
211,57000
212,62000
213,58000
214,60000
221,23000
222,26000
223,36000
224,46000
225,43000
226,36000
227,31000
301,13000
302,44000
303,120000
304,133000
305,132000
306,124000
307,147000
308,157000
309,138000
310,97000
311,73000
312,145000
313,100000
314,129000
315,114000
316,122000
317,82000
318,93000
319,66000
320,61000
321,68000
322,56000
323,61000
324,42000
325,59000
326,45000
327,45000
328,34000
329,41000
330,33000
331,34000
332,30000
333,32000
334,29000
341,1100
342,1900
343,14000
344,11000
345,8000
346,5500
347,2400
351,39000
352,50000
353,87000
354,120000
355,99000
356,119000
357,102000
358,118000
359,94000
360,108000
361,96000
362,121000
363,102000
364,116000
365,100000
366,117000
367,80000
368,82000
369,96000
370,85000
371,95000
372,81000
373,89000
374,87000
375,58000
376,100000
377,28000
378,41000
379,34000
381,32000
382,29000
383,28000
384,26000
385,27000
386,27000
387,27000
388,44000
389,9100
390,8000
391,39000
392,39000
401,72000
402,106000
403,163000
404,170000
405,151000
406,163000
407,89000
408,147000
409,166000
410,126000
411,133000
412,147000
413,128000
414,146000
415,142000
416,152000
417,143000
418,150000
419,149000
420,159000
421,146000
422,175000
423,101000
424,205000
425,186000
426,201000
427,148000
428,166000
429,136000
430,183000
431,169000
432,183000
433,159000
434,191000
435,166000
436,131000
437,162000
438,150000
439,173000
440,112000
441,123000
442,115000
443,106000
444,127000
445,90000
446,118000
447,49000
451,75000
452,43000
453,58000
454,64000
455,58000
456,73000
457,59000
458,73000
459,103000
460,90000
461,65000
462,86000
463,75000
464,35000
501,81000
502,124000
503,104000
504,117000
505,98000
506,88000
507,65000
508,73000
509,65000
510,80000
511,62000
512,71000
513,72000
514,57000
515,71000
516,70000
517,52000
518,65000
519,42000
520,47000
521,43000
522,46000
523,40000
524,46000
525,34000
526,47000
527,53000
528,67000
529,30000
551,17000
552,19000
553,20000
554,69000
555,72000
556,46000
557,47000
558,38000
559,46000
560,41000
561,57000
562,51000
563,54000
564,51000
565,56000
566,40000
567,44000
568,26000
569,52000
570,43000
571,45000
572,35000
573,40000
574,30000
575,11400
576,22000
577,18000
578,15000
579,15000
601,16000
602,5700
603,5400
604,7000
605,15000
606,12000
607,6600
608,4200
609,3900
610,2900
611,2900
612,5800
613,7200
614,5000
615,11000
616,11000
617,18000
618,19000
619,22000
620,22000
621,23000
622,22000
623,22000
624,20000
625,39000
626,43000
627,47000
628,20000
629,18000
630,18000
631,15000
632,17000
633,18000
651,34000
652,35000
653,31000
654,22000
655,22000
656,21000
657,21000
658,21000
659,21000
660,21000
661,20000
662,18000
663,19000
664,15000
665,10000
666,6800
667,5400
668,23000
681,20000
682,29000
683,35000
684,29000
685,29000
686,33000
687,35000
688,33000
689,32000
690,32000
691,34000
692,38000
693,32000
694,17000
695,14000
696,13000
701,27000
702,28000
703,27000
704,21000
705,20000
706,19000
707,18000
