coefficient_name,value,constrain
coef_mode_logsum,0.6755,F
coef_escort_dist_0_2,-0.1,F
coef_eatout_dist_0_2,0.15,F
coef_othdiscr_dist_0_2,0.5,F
coef_escort_dist_2_5,-0.9,F
coef_shopping_dist_2_5,-1.2,F
coef_eatout_dist_2_5,-0.5,F
coef_othmaint_dist_2_5,-1.35,F
coef_social_dist_2_5,-1.5,F
coef_othdiscr_dist_2_5,-0.75,F
coef_escort_dist_5_plus,-0.08,F
coef_shopping_dist_5_plus,-0.1,F
coef_eatout_dist_5_plus,-0.2,F
coef_othmaint_dist_5_plus,-0.05,F
coef_social_dist_5_plus,-0.05,F
coef_othdiscr_dist_5_plus,-0.15,F
coef_Home_Dest_Kitsap_ASC,3.5,F
