coefficient_name,value,constrain
coef_zero,0.0,T
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO_TRN_NM,0.7696979415905754,F
coef_nest_AUTO_TRN_NM1,1.0,F
coef_nest_AUTO_TRN_NM2,1.0,F
coef_nest_AUTO_TRN_NM3,1.0,F
coef_nest_AUTO,1.0,F
coef_nest_AUTO_DRIVEALONE,1.0,F
coef_nest_AUTO_SHAREDRIDE2,1.0,F
coef_nest_AUTO_SHAREDRIDE3,1.0,F
coef_nest_NONMOTORIZED,1.0,F
coef_nest_TRANSIT,1.0,F
coef_nest_TRANSIT_WALKACCESS,1.0,F
coef_nest_TRANSIT_DRIVEACCESS,1.0,F
coef_nest_RIDEHAIL,1.0,F
coef_nest_SCHOOL_BUS,1.0,F
coef_ivt_disc,-0.015,T
coef_ivt_maint,-0.017,T
coef_ivt_school,-0.01,T
coef_ivt_univ,-0.016,T
coef_ivt_work,-0.016,T
coef_ivt_atwork,-0.032,T
coef_inc_adj_cost_disc,-0.262,T
coef_inc_adj_cost_maint,-0.262,T
coef_inc_adj_cost_school,-0.262,T
coef_inc_adj_cost_univ,-0.262,T
coef_inc_adj_cost_work,-0.625,T
coef_inc_adj_cost_atwork,-0.262,T
coef_ivt_lr_disc,-0.006037723,F
coef_ivt_lr_maint,-0.006037723,F
coef_ivt_lr_school,-0.005457696,F
coef_ivt_lr_univ,-0.005457696,F
coef_ivt_lr_work,-0.005079251,F
coef_ivt_lr_atwork,-0.01692,F
coef_ivt_fry_disc,-0.005366865,F
coef_ivt_fry_maint,-0.005366865,F
coef_ivt_fry_school,-0.004851286,F
coef_ivt_fry_univ,-0.004851286,F
coef_ivt_fry_work,-0.00451489,F
coef_ivt_fry_atwork,-0.01504,F
coef_ivt_com_disc,-0.004696007,F
coef_ivt_com_maint,-0.004696007,F
coef_ivt_com_school,-0.004244875,F
coef_ivt_com_univ,-0.004244875,F
coef_ivt_com_work,-0.003950528,F
coef_ivt_com_atwork,-0.01316,F
coef_walktime_short_disc,-0.0691699068897845,F
coef_walktime_short_maint,-0.09558036216595787,F
coef_walktime_short_school,-0.06836886285110455,F
coef_walktime_short_univ,-0.0579788720687771,F
coef_walktime_short_work,-0.07805650292206893,F
coef_walktime_short_atwork,-0.11875992626226016,F
coef_walktime_transit_disc,-0.038125090200281014,F
coef_walktime_transit_maint,-0.03450656901094765,F
coef_walktime_transit_school,-0.05746252773521452,F
coef_walktime_transit_univ,-0.024,T
coef_walktime_transit_work,-0.03147911520986536,F
coef_walktime_transit_atwork,-0.048,T
coef_walktime_long_disc,-0.017998499950762917,F
coef_walktime_long_maint,-0.06067225255593731,F
coef_walktime_long_school,-0.03948448702467886,F
coef_walktime_long_univ,-0.025286886526465296,F
coef_walktime_long_work,-0.012981985967190721,F
coef_walktime_long_atwork,-0.04289074089893531,F
coef_biketime_disc,-0.04674815555235431,F
coef_biketime_maint,-0.13197185747798199,F
coef_biketime_school,-0.12607646626064278,F
coef_biketime_univ,-0.09026948377319494,F
coef_biketime_work,-0.034785193374425066,F
coef_biketime_atwork,-0.13431678622997428,F
coef_female_bike_disc,-0.7423365124359972,F
coef_female_bike_maint,-0.2558487696616779,F
coef_female_bike_school,0.0,T
coef_female_bike_univ,0.0,T
coef_female_bike_work,-0.69763731339318,F
coef_female_bike_atwork,-14.236119237107628,F
coef_iwait_disc,-0.0225,T
coef_iwait_maint,-0.0255,T
coef_iwait_school,-0.09731114510447327,F
coef_iwait_univ,-0.024,T
coef_iwait_work,-0.024,T
coef_iwait_atwork,-0.06814570768665952,F
coef_iwait_fry_com_all,-0.0376,F
coef_iwait_ridehail_disc,-0.31109041717260244,F
coef_iwait_ridehail_maint,-0.25810764347515264,F
coef_iwait_ridehail_school,-0.24709439000630648,F
coef_iwait_ridehail_univ,-0.27708706956508805,F
coef_iwait_ridehail_work,-0.19761218902637628,F
coef_iwait_ridehail_atwork,-0.14641254992926733,F
coef_xwait_disc,-0.03,T
coef_xwait_maint,-0.034,T
coef_xwait_school,-0.02,T
coef_xwait_univ,-0.032,T
coef_xwait_work,-0.032,T
coef_xwait_atwork,-0.064,T
coef_xwait_fry_com_all,-0.0376,F
coef_xfer_disc,-0.40807689069440267,F
coef_xfer_maint,-0.40243268617420386,F
coef_xfer_school,-0.24350541157539074,F
coef_xfer_univ,-0.3469463310032868,F
coef_xfer_work,-0.3945664757995313,F
coef_xfer_atwork,-1.8182315966485894,F
coef_must_xfer_disc,0.001341716,F
coef_must_xfer_maint,0.001341716,F
coef_must_xfer_school,0.001212821,F
coef_must_xfer_univ,0.001212821,F
coef_must_xfer_work,0.001128722,F
coef_must_xfer_atwork,0.00376,F
coef_dtim_disc,-0.0225,T
coef_dtim_maint,-0.0255,T
coef_dtim_school,-0.015,T
coef_dtim_univ,-0.022847140743997216,F
coef_dtim_work,-0.017312267934503495,F
coef_dtim_atwork,-1.633666544,F
coef_hh_density_index_bike_disc,0.0,T
coef_hh_density_index_bike_maint,0.0,T
coef_hh_density_index_bike_school,0.0,T
coef_hh_density_index_bike_univ,0.0,T
coef_hh_density_index_bike_work,0.0,T
coef_hh_density_index_bike_atwork,0.0,T
coef_hh_density_index_walk_disc,0.0,T
coef_hh_density_index_walk_maint,0.0,T
coef_hh_density_index_walk_school,0.0,T
coef_hh_density_index_walk_univ,0.0,T
coef_hh_density_index_walk_work,0.0,T
coef_hh_density_index_walk_atwork,0.0,T
coef_hh_density_index_transit_disc,0.0,T
coef_hh_density_index_transit_maint,0.0,T
coef_hh_density_index_transit_school,0.0,T
coef_hh_density_index_transit_univ,0.0,T
coef_hh_density_index_transit_work,0.0,T
coef_hh_density_index_transit_atwork,0.0,T
coef_emp_density_index_bike_disc,0.0,T
coef_emp_density_index_bike_maint,0.1636803742912697,F
coef_emp_density_index_bike_school,0.3210951191740343,F
coef_emp_density_index_bike_univ,0.0,T
coef_emp_density_index_bike_work,0.2756865803157615,F
coef_emp_density_index_bike_atwork,0.0,T
coef_emp_density_index_walk_disc,0.08315624106769305,F
coef_emp_density_index_walk_maint,0.32139499461476834,F
coef_emp_density_index_walk_school,0.0,T
coef_emp_density_index_walk_univ,0.0,T
coef_emp_density_index_walk_work,0.4493930085930696,F
coef_emp_density_index_walk_atwork,0.0,T
coef_emp_density_index_transit_disc_maint_escort,0.0,T
coef_emp_density_index_transit_school_univ,0.10124345667535953,F
coef_emp_density_index_transit_work,0.2625032211271852,F
coef_emp_density_index_transit_atwork,0.0,T
coef_topology_walk_disc,0.0,F
coef_topology_walk_maint,0.0,F
coef_topology_walk_school,0.0,F
coef_topology_walk_univ,0.0,F
coef_topology_walk_work,0.0,F
coef_topology_walk_atwork,0.0,F
coef_topology_bike_disc,-0.38811948,F
coef_topology_bike_maint,-0.38811948,F
coef_topology_bike_school,-0.069434009,F
coef_topology_bike_univ,-0.069434009,F
coef_topology_bike_work,-0.38811948,F
coef_topology_bike_atwork,0.0032336,F
coef_topology_trn_disc,-1.703183744,F
