Hour,ModelPeriod,TimeGroup,BigTimeGroup,All,tod
5,5to6_board,EV/NT,Off-Peak,All,5to6
6,6to7_board,AM,Peak,All,6to7
7,7to8_board,AM,Peak,All,7to8
8,8to9_board,AM,Peak,All,8to9
9,9to10_board,MD,Off-Peak,All,10to14
10,10to14_board,MD,Off-Peak,All,10to14
11,10to14_board,MD,Off-Peak,All,10to14
12,10to14_board,MD,Off-Peak,All,10to14
13,10to14_board,MD,Off-Peak,All,10to14
14,14to15_board,MD,Off-Peak,All,14to15
15,15to16_board,PM,Peak,All,15to16
16,16to17_board,PM,Peak,All,16to17
17,17to18_board,PM,Peak,All,17to18
18,18to20_board,EV/NT,Off-Peak,All,18to20
19,18to20_board,EV/NT,Off-Peak,All,18to20
