left_table,left_index,right_table,right_index,right_column,right_column_rename
Tour,topcl,parcel_geog,ParcelID,district_name,tour_o_district
Tour,tdpcl,parcel_geog,ParcelID,district_name,tour_d_district
Trip,otaz,parcel_geog,ParcelID,district_name,trip_o_district
Trip,dtaz,parcel_geog,ParcelID,district_name,trip_d_district
Trip,dpcl,parcel_geog,ParcelID,Census2020Tract,d_tract
Trip,opcl,parcel_geog,ParcelID,Census2020Tract,o_tract
Tour,topcl,parcel_geog,ParcelID,Census2020Tract,td_tract
Tour,tdpcl,parcel_geog,ParcelID,Census2020Tract,to_tract
Tour,tdpcl,parcel_geog,ParcelID,GrowthCenterName,tour_d_rgc
Tour,tdpcl,parcel_geog,ParcelID,mic,tour_d_mic
Trip,dpcl,parcel_geog,ParcelID,GrowthCenterName,trip_d_rgc
Trip,dpcl,parcel_geog,ParcelID,mic,trip_d_mic
Household,hhparcel,parcel_geog,ParcelID,place_name_2020,hh_place_name
Person,pwpcl,parcel_geog,ParcelID,place_name_2020,pw_place_name
Tour,topcl,parcel_geog,ParcelID,place_name_2020,t_o_place
Tour,tdpcl,parcel_geog,ParcelID,place_name_2020,t_d_place
Household,hhparcel,parcel_geog,ParcelID,CountyName,person_county
Household,hhparcel,parcel_geog,ParcelID,CityName,hh_city
Person,pspcl,parcel_geog,ParcelID,CountyName,person_school_county
Person,pwpcl,parcel_geog,ParcelID,CountyName,person_work_county
Person,pwpcl,parcel_geog,ParcelID,mic,person_work_mic
Household,hhparcel,parcel_geog,ParcelID,CountyName,hh_county
Household,hhparcel,parcel_geog,ParcelID,rg_proposed,hh_rg_proposed
Household,hhparcel,parcel_geog,ParcelID,Census2020BlockGroup,hh_block_group
Household,hhparcel,parcel_geog,ParcelID,GrowthCenterName,hh_rgc
Household,hhparcel,parcel_geog,ParcelID,equity_focus_areas_2023__efa_dis,hh_efa_dis
Household,hhparcel,parcel_geog,ParcelID,equity_focus_areas_2023__efa_older,hh_efa_older
Household,hhparcel,parcel_geog,ParcelID,equity_focus_areas_2023__efa_lep,hh_efa_lep
Household,hhparcel,parcel_geog,ParcelID,equity_focus_areas_2023__efa_pov200,hh_efa_pov200
Household,hhparcel,parcel_geog,ParcelID,equity_focus_areas_2023__efa_poc,hh_efa_poc
Household,hhparcel,parcel_geog,ParcelID,equity_focus_areas_2023__efa_youth,hh_efa_youth
Household,hhparcel,buffered_parcels,parcelid,raw_dist_transit,hh_dist_transit
Household,hhparcel,buffered_parcels,parcelid,raw_dist_hct,hh_dist_hct
Person,pwpcl,buffered_parcels,parcelid,raw_dist_transit,work_dist_transit
Person,pwpcl,buffered_parcels,parcelid,raw_dist_hct,work_dist_hct
