matrix_type,matrix_name,description
scalar,medop,medium truck op cost cents per mile
scalar,hvyop,heavy truck op cost cents per mile
scalar,delop,delivery truck op cost cents per mile
scalar,mtprof,medium truck productions refactored total
scalar,htprof,heavy truck productions refactored total
scalar,dtprof,delivery truck productions refactored total
scalar,mtattf,medium truck attractions refactored total
scalar,htattf,heavy truck attractions refactored total
scalar,dtattf,delivery truck attractions refactored total
scalar,mtprfe,medium truck productions refactored total externals
scalar,htprfe,heavy truck productions refactored total externals
scalar,dtprfe,delivery truck productions refactored total externals
scalar,mtatfe,medium truck attractions refactored total externals
scalar,htatfe,heavy truck attractions refactored total externals
scalar,dtatfe,delivery truck attractions refactored total externals
origin,mtpro,medium truck productions
origin,htpro,heavy truck productions
origin,dtpro,delivery truck productions
origin,mtatt,medium truck attractions
origin,htatt,heavy truck attractions
origin,dtatt,delivery truck attractions
origin,mtattf,medium truck attractions factored
origin,htattf,heavy truck attractions factored
origin,dtattf,delivery truck attractions factored
origin,mtprof,medium truck productions refactored 
origin,htprof,heavy truck productions refactored 
origin,dtprof,delivery truck productions refactored 
origin,truck,truck allowable land use flag
destination,mtatt,medium truck attractions
destination,htatt,heavy truck attractions
destination,dtatt,delivery truck attractions
destination,mtattf,medium truck attractions
destination,htattf,heavy truck attractions
destination,dtattf,delivery truck attractions
destination,mtattf,medium truck productions refactored 
destination,htattf,heavy truck productions refactored 
destination,dtattf,delivery truck productions refactored
destination,truck,truck allowable land use flag
full,bmedcs,medium truck bidirectional cost
full,bhvycs,heavy truck bidirectional cost
full,bdelcs,delivery truck bidirectional cost
full,bmedds,medium truck bidirectional distance
full,bhvyds,heavy truck bidirectional distance
full,bdelds,delivery truck bidirectional distance
full,medimp,medium truck distribution impedances
full,hvyimp,heavy truck distribution impedances
full,delimp,delivery truck distribution impedances
full,meddis,medium truck distribution
full,hvydis,heavy truck distribution
full,deldis,delivery truck distribution
full,intflg,flag 1 for non ext-ext od pairs
full,medod,medium truck daily od trips
full,medee,medium truck daily ee trips
full,medie,medium truck daily ie trips
full,medei,medium truck daily ei trips
full,hvyod,heavy truck daily od trips
full,hvyee,heavy truck daily ee trips
full,hvyie,heavy truck daily ie trips
full,hvyei,heavy truck daily ei trips
full,delod,delivery truck daily od trips
full,delee,delivery truck daily ee trips
full,delie,delivery truck daily ie trips
full,delei,delivery truck daily ei trips
full,5to6_medtrk_trips,am medium truck od trip table
full,5to6_hvytrk_trips,am heavy truck od trip table
full,5to6_deltrk_trips,am delivery trip od trip table
full,6to7_medtrk_trips,6to7 medium truck od trip table
full,6to7_hvytrk_trips,6to7 heavy truck od trip table
full,6to7_deltrk_trips,6to7 delivery trip od trip table
full,7to8_medtrk_trips,7to8 medium truck od trip table
full,7to8_hvytrk_trips,7to8 heavy truck od trip table
full,7to8_deltrk_trips,7to8 delivery trip od trip table
full,8to9_medtrk_trips,8to9 medium truck od trip table
full,8to9_hvytrk_trips,8to9 heavy truck od trip table
full,8to9_deltrk_trips,8to9 delivery trip od trip table
full,9to10_medtrk_trips,9to10 medium truck od trip table
full,9to10_hvytrk_trips,9to10 heavy truck od trip table
full,9to10_deltrk_trips,9to10 delivery trip od trip table
full,10to14_medtrk_trips,10to14 medium truck od trip table
full,10to14_hvytrk_trips,10to14 heavy truck od trip table
full,10to14_deltrk_trips,10to14 delivery trip od trip table
full,14to15_medtrk_trips,14to15 medium truck od trip table
full,14to15_hvytrk_trips,14to15 heavy truck od trip table
full,14to15_deltrk_trips,14to15 delivery trip od trip table
full,15to16_medtrk_trips,15to16 medium truck od trip table
full,15to16_hvytrk_trips,15to16 heavy truck od trip table
full,15to16_deltrk_trips,15to16 delivery trip od trip table
full,16to17_medtrk_trips,16to17 medium truck od trip table
full,16to17_hvytrk_trips,16to17 heavy truck od trip table
full,16to17_deltrk_trips,16to17 delivery trip od trip table
full,17to18_medtrk_trips,17to18 medium truck od trip table
full,17to18_hvytrk_trips,17to18 heavy truck od trip table
full,17to18_deltrk_trips,17to18 delivery trip od trip table
full,18to20_medtrk_trips,18to20 medium truck od trip table
full,18to20_hvytrk_trips,18to20 heavy truck od trip table
full,18to20_deltrk_trips,18to20 delivery trip od trip table
full,20to5_medtrk_trips,20to5 medium truck od trip table
full,20to5_hvytrk_trips,20to5 heavy truck od trip table
full,20to5_deltrk_trips,20to5 delivery trip od trip table
