taz,geog_name,district,lat_1,lon_1
1,King County,North Seattle-Shoreline,47.51978,-122.138064
2,King County,North Seattle-Shoreline,47.51978,-122.138064
3,King County,North Seattle-Shoreline,47.51978,-122.138064
4,King County,North Seattle-Shoreline,47.51978,-122.138064
5,King County,North Seattle-Shoreline,47.51978,-122.138064
6,King County,North Seattle-Shoreline,47.51978,-122.138064
7,King County,North Seattle-Shoreline,47.51978,-122.138064
8,King County,North Seattle-Shoreline,47.51978,-122.138064
9,King County,North Seattle-Shoreline,47.51978,-122.138064
10,King County,North Seattle-Shoreline,47.51978,-122.138064
11,King County,North Seattle-Shoreline,47.51978,-122.138064
12,King County,North Seattle-Shoreline,47.51978,-122.138064
13,King County,North Seattle-Shoreline,47.51978,-122.138064
14,King County,North Seattle-Shoreline,47.51978,-122.138064
15,King County,North Seattle-Shoreline,47.51978,-122.138064
16,King County,North Seattle-Shoreline,47.51978,-122.138064
17,King County,North Seattle-Shoreline,47.51978,-122.138064
18,King County,North Seattle-Shoreline,47.51978,-122.138064
19,King County,North Seattle-Shoreline,47.51978,-122.138064
20,King County,North Seattle-Shoreline,47.51978,-122.138064
21,King County,North Seattle-Shoreline,47.51978,-122.138064
22,King County,North Seattle-Shoreline,47.51978,-122.138064
23,King County,North Seattle-Shoreline,47.51978,-122.138064
24,King County,North Seattle-Shoreline,47.51978,-122.138064
25,King County,North Seattle-Shoreline,47.51978,-122.138064
26,King County,North Seattle-Shoreline,47.51978,-122.138064
27,King County,North Seattle-Shoreline,47.51978,-122.138064
28,King County,North Seattle-Shoreline,47.51978,-122.138064
29,King County,North Seattle-Shoreline,47.51978,-122.138064
30,King County,North Seattle-Shoreline,47.51978,-122.138064
31,King County,North Seattle-Shoreline,47.51978,-122.138064
32,King County,North Seattle-Shoreline,47.51978,-122.138064
33,King County,North Seattle-Shoreline,47.51978,-122.138064
34,King County,North Seattle-Shoreline,47.51978,-122.138064
35,King County,North Seattle-Shoreline,47.51978,-122.138064
36,King County,North Seattle-Shoreline,47.51978,-122.138064
37,King County,North Seattle-Shoreline,47.51978,-122.138064
38,King County,North Seattle-Shoreline,47.51978,-122.138064
39,King County,North Seattle-Shoreline,47.51978,-122.138064
40,King County,North Seattle-Shoreline,47.51978,-122.138064
41,King County,North Seattle-Shoreline,47.51978,-122.138064
42,King County,North Seattle-Shoreline,47.51978,-122.138064
43,King County,North Seattle-Shoreline,47.51978,-122.138064
44,King County,North Seattle-Shoreline,47.51978,-122.138064
45,King County,North Seattle-Shoreline,47.51978,-122.138064
46,King County,North Seattle-Shoreline,47.51978,-122.138064
47,King County,North Seattle-Shoreline,47.51978,-122.138064
48,King County,North Seattle-Shoreline,47.51978,-122.138064
49,King County,North Seattle-Shoreline,47.51978,-122.138064
50,King County,North Seattle-Shoreline,47.51978,-122.138064
51,King County,North Seattle-Shoreline,47.51978,-122.138064
52,King County,North Seattle-Shoreline,47.51978,-122.138064
53,King County,North Seattle-Shoreline,47.51978,-122.138064
54,King County,North Seattle-Shoreline,47.51978,-122.138064
55,King County,North Seattle-Shoreline,47.51978,-122.138064
56,King County,North Seattle-Shoreline,47.51978,-122.138064
57,King County,North Seattle-Shoreline,47.51978,-122.138064
58,King County,North Seattle-Shoreline,47.51978,-122.138064
59,King County,North Seattle-Shoreline,47.51978,-122.138064
60,King County,North Seattle-Shoreline,47.51978,-122.138064
61,King County,North Seattle-Shoreline,47.51978,-122.138064
62,King County,North Seattle-Shoreline,47.51978,-122.138064
63,King County,North Seattle-Shoreline,47.51978,-122.138064
64,King County,North Seattle-Shoreline,47.51978,-122.138064
65,King County,North Seattle-Shoreline,47.51978,-122.138064
66,King County,North Seattle-Shoreline,47.51978,-122.138064
67,King County,North Seattle-Shoreline,47.51978,-122.138064
68,King County,North Seattle-Shoreline,47.51978,-122.138064
69,King County,North Seattle-Shoreline,47.51978,-122.138064
70,King County,North Seattle-Shoreline,47.51978,-122.138064
71,King County,North Seattle-Shoreline,47.51978,-122.138064
