id,Operator,RouteNumber,Mode,Description,Code
1,1,MK001,b,MK001a,MK
2,1,MK001,b,MK001b,MK
3,1,MK002,b,MK002a,MK
4,1,MK002,b,MK002b,MK
5,1,MK002,b,MK002c,MK
6,1,MK002,b,MK002d,MK
7,1,MK002,b,MK002e,MK
8,1,MK002,b,MK002f,MK
9,1,MK003,b,MK003a,MK
10,1,MK003,b,MK003b,MK
11,1,MK003,b,MK003c,MK
12,1,MK003,b,MK003d,MK
13,1,MK003,b,MK003e,MK
14,1,MK003,b,MK003f,MK
15,1,MK003,b,MK003g,MK
16,1,MK003,b,MK003h,MK
17,1,MK003,b,MK003i,MK
18,1,MK003,b,MK003j,MK
19,1,MK004,b,MK004a,MK
20,1,MK004,b,MK004b,MK
21,1,MK004,b,MK004c,MK
22,1,MK004,b,MK004d,MK
23,1,MK004,b,MK004e,MK
24,1,MK004,b,MK004f,MK
25,1,MK004,b,MK004g,MK
26,1,MK004,b,MK004h,MK
27,1,MK005,b,MK005a,MK
28,1,MK005,b,MK005b,MK
29,1,MK005,b,MK005c,MK
30,1,MK005,b,MK005d,MK
31,1,MK005,b,MK005e,MK
32,1,MK005,b,MK005f,MK
33,1,MK005,b,MK005g,MK
34,1,MK005,b,MK005h,MK
35,1,MK005,b,MK005i,MK
36,1,MK005,b,MK005j,MK
37,1,MK005,b,MK005x,MK
38,1,MK007,b,MK007a,MK
39,1,MK007,b,MK007b,MK
40,1,MK007,b,MK007c,MK
41,1,MK007,b,MK007d,MK
42,1,MK007,b,MK007e,MK
43,1,MK007,b,MK007f,MK
44,1,MK007,b,MK007g,MK
45,1,MK008,b,MK008a,MK
46,1,MK008,b,MK008b,MK
47,1,MK009,b,MK009a,MK
48,1,MK009,b,MK009b,MK
49,1,MK010,b,MK010a,MK
50,1,MK010,b,MK010b,MK
51,1,MK010,b,MK010c,MK
52,1,MK010,b,MK010d,MK
53,1,MK011,b,MK011a,MK
54,1,MK011,b,MK011b,MK
55,1,MK011,b,MK011c,MK
56,1,MK011,b,MK011d,MK
57,1,MK012,b,MK012a,MK
58,1,MK012,b,MK012b,MK
