TAZ,District,County,SeattleOrNot
1,13,King,Seattle
2,13,King,Seattle
3,13,King,Seattle
4,13,King,Seattle
5,13,King,Seattle
6,13,King,Seattle
7,13,King,Seattle
8,13,King,Seattle
9,13,King,Seattle
10,13,King,Seattle
11,13,King,Seattle
12,13,King,Seattle
13,13,King,Seattle
14,13,King,Seattle
15,13,King,Seattle
16,13,King,Seattle
17,13,King,Seattle
18,13,King,Seattle
19,13,King,Seattle
20,13,King,Seattle
21,13,King,Seattle
22,13,King,Seattle
23,13,King,Seattle
24,13,King,Seattle
25,13,King,Seattle
26,13,King,Seattle
27,13,King,Seattle
28,13,King,Seattle
29,13,King,Seattle
30,13,King,Seattle
31,13,King,Seattle
32,13,King,Seattle
33,13,King,Seattle
34,13,King,Seattle
35,13,King,Seattle
36,13,King,Seattle
37,13,King,Seattle
38,13,King,Seattle
39,13,King,Seattle
40,13,King,Seattle
41,13,King,Seattle
42,13,King,Seattle
43,13,King,Seattle
44,13,King,Seattle
45,13,King,Seattle
46,13,King,Seattle
47,13,King,Seattle
48,13,King,Seattle
49,13,King,Seattle
50,13,King,Seattle
51,13,King,Seattle
52,13,King,Seattle
53,13,King,Seattle
54,13,King,Seattle
55,13,King,Seattle
56,13,King,Seattle
57,13,King,Seattle
58,13,King,Seattle
59,13,King,Seattle
60,13,King,Seattle
61,13,King,Seattle
62,13,King,Seattle
63,13,King,Seattle
64,13,King,Seattle
65,13,King,Seattle
66,13,King,Seattle
67,13,King,Seattle
68,13,King,Seattle
69,13,King,Seattle
70,13,King,Seattle
71,13,King,Seattle
72,13,King,Seattle
73,13,King,Seattle
74,13,King,Seattle
75,13,King,Seattle
76,13,King,Seattle
77,13,King,Seattle
78,13,King,Seattle
79,13,King,Seattle
80,13,King,Seattle
81,13,King,Seattle
82,13,King,Seattle
83,13,King,Seattle
84,13,King,Seattle
85,13,King,Seattle
86,13,King,Seattle
87,13,King,Seattle
88,13,King,Seattle
89,13,King,Seattle
90,13,King,Seattle
91,13,King,Seattle
92,13,King,Seattle
93,13,King,Seattle
94,13,King,Seattle
95,13,King,Seattle
96,13,King,Seattle
97,13,King,Seattle
98,13,King,Seattle
99,13,King,Seattle
100,13,King,Seattle
101,13,King,Seattle
102,13,King,Seattle
103,13,King,Seattle
104,13,King,Seattle
105,13,King,Seattle
106,13,King,Seattle
107,13,King,Seattle
108,13,King,Seattle
109,13,King,Seattle
110,13,King,Seattle
111,13,King,Seattle
112,13,King,Seattle
113,13,King,Seattle
114,13,King,Seattle
115,13,King,Seattle
116,13,King,Seattle
117,13,King,Seattle
118,13,King,Seattle
119,13,King,Seattle
120,13,King,Seattle
121,13,King,Seattle
122,13,King,Seattle
123,13,King,Seattle
124,13,King,Seattle
125,13,King,Seattle
126,13,King,Seattle
127,13,King,Seattle
128,13,King,Seattle
129,13,King,Seattle
130,13,King,Seattle
131,13,King,Seattle
132,13,King,Seattle
133,13,King,Seattle
134,13,King,Seattle
135,13,King,Seattle
136,13,King,Seattle
137,13,King,Seattle
138,13,King,Seattle
139,13,King,Seattle
140,13,King,Seattle
141,13,King,Seattle
142,13,King,Seattle
143,13,King,Seattle
144,13,King,Seattle
145,13,King,Seattle
146,13,King,Seattle
147,13,King,Seattle
148,13,King,Seattle
149,13,King,Seattle
150,13,King,Seattle
151,13,King,Seattle
152,13,King,Seattle
153,13,King,Seattle
154,13,King,Seattle
155,13,King,Seattle
156,13,King,Seattle
157,13,King,Seattle
158,13,King,Seattle
159,13,King,Seattle
160,13,King,Seattle
161,13,King,Seattle
162,13,King,Seattle
163,13,King,Seattle
164,13,King,Seattle
165,13,King,Seattle
166,13,King,Seattle
167,13,King,Seattle
168,13,King,Seattle
169,13,King,Seattle
170,13,King,Seattle
171,13,King,Seattle
172,13,King,Seattle
173,13,King,Seattle
174,13,King,Seattle
175,13,King,Seattle
176,13,King,Seattle
177,13,King,Seattle
178,13,King,Seattle
