"","1","2","3","4","5","6","7","8","9","10","11"
"1",54606.93,56840.2,7854.31,15060.66,4677.63,30530.49,1963.24,305.31,-1,1207.08,NA
"2",9443.85,47119.2,11858.99,13524.99,4433.73,13984.57,1999.7,243.41,1801.41,325.17,NA
"3",3320.26,6375.25,68941.76,56033.93,13016.85,17507.78,9156.89,340.6,NA,456.63,NA
"4",528.44,530.97,11601.98,36469.35,10434.32,9087.44,4445.99,1286.26,441.29,124.16,NA
"5",NA,746.2,6880.42,25488.45,27210.18,7907.13,14088.15,1000.68,151.89,2713.03,NA
"6",7947.68,7643.79,9121.68,41834.83,10878.32,152364.48,20927.35,846.07,NA,273.54,NA
"7",205.45,1295.44,3132.79,14375.45,16113.47,21999.73,109091.99,6057.4,NA,4809.68,NA
"8",NA,1072.1,NA,5464.55,2287,1186.18,16093.81,51860.22,487.37,18528.49,2385.91
"9",86.93,917.77,843.66,9093.51,780.02,878.24,2039.82,1945.27,69285.73,694.02,1347.59
"10",NA,NA,1452.65,3160.32,3226.68,2983.14,33927.95,29278.31,1322.77,73060.72,NA
"11",NA,NA,588.34,885.83,NA,220.93,2249.45,4937.77,3876.36,2426.71,3264.68
