taz_p,rg_proposed
1,Metro
2,Metro
3,Metro
4,Metro
5,Metro
6,Metro
7,Metro
8,Metro
9,Metro
10,Metro
11,Metro
12,Metro
13,Metro
14,Metro
15,Metro
16,Metro
17,Metro
18,Metro
19,Metro
20,Metro
21,Metro
22,Metro
23,Metro
24,Metro
25,Metro
26,Metro
27,Metro
28,Metro
29,Metro
30,Metro
31,Metro
32,Metro
33,Metro
34,Metro
35,Metro
36,Metro
37,Metro
38,Metro
39,Metro
40,Metro
41,Metro
42,Metro
43,Metro
44,Metro
45,Metro
46,Metro
47,Metro
48,Metro
49,Metro
50,Metro
51,Metro
52,Metro
53,Metro
54,Metro
55,Metro
56,Metro
57,Metro
58,Metro
59,Metro
60,Metro
61,Metro
62,Metro
63,Metro
64,Metro
65,Metro
66,Metro
67,Metro
68,Metro
69,Metro
70,Metro
71,Metro
72,Metro
73,Metro
74,Metro
75,Metro
76,Metro
77,Metro
78,Metro
79,Metro
80,Metro
81,Metro
82,Metro
83,Metro
84,Metro
85,Metro
86,Metro
87,Metro
88,Metro
89,Metro
90,Metro
91,Metro
92,Metro
93,Metro
94,Metro
95,Metro
96,Metro
97,Metro
98,Metro
99,Metro
100,Metro
101,Metro
102,Metro
103,Metro
104,Metro
105,Metro
106,Metro
107,Metro
108,Metro
109,Metro
110,Metro
111,Metro
112,Metro
113,Metro
114,Metro
115,Metro
116,Metro
117,Metro
118,Metro
119,Metro
120,Metro
121,Metro
122,Metro
123,Metro
124,Metro
125,Metro
126,Metro
127,Metro
128,Metro
129,Metro
130,Metro
131,Metro
132,Metro
133,Metro
134,Metro
135,Metro
136,Metro
137,Metro
138,Metro
139,Metro
140,Metro
141,Metro
142,Metro
143,Metro
144,Metro
145,Metro
146,Metro
147,Metro
148,Metro
149,Metro
150,Metro
151,Metro
152,Metro
153,Metro
154,Metro
155,Metro
156,Metro
157,Metro
158,Metro
159,Metro
160,Metro
161,Metro
162,Metro
163,Metro
164,Metro
165,Metro
166,Metro
167,Metro
168,Metro
169,Metro
170,Metro
171,Metro
172,Metro
173,Metro
174,Metro
175,Metro
176,Metro
177,Metro
178,Metro
179,Metro
180,Metro
181,Metro
182,Metro
183,Metro
184,Metro
185,Metro
186,Metro
187,Metro
188,Metro
189,Metro
190,Metro
191,Metro
192,Metro
193,Metro
194,Metro
195,Metro
196,Metro
197,Metro
198,Metro
199,Metro
200,Metro
201,Metro
202,Metro
203,Metro
204,Metro
205,Metro
206,Metro
207,Metro
208,Metro
209,Metro
210,Metro
211,Metro
212,Metro
213,Metro
214,Metro
215,Metro
216,Metro
217,Metro
218,Metro
219,Metro
220,Metro
221,Metro
222,Metro
223,Metro
224,Metro
225,Metro
226,Metro
227,Metro
228,Metro
229,Metro
230,Metro
231,Metro
232,Metro
233,Metro
234,Metro
235,Metro
236,Metro
237,Metro
238,Metro
239,Metro
240,Metro
241,Metro
242,Metro
243,Metro
244,Metro
245,Metro
246,Metro
247,Metro
248,Metro
249,Metro
250,Metro
251,Metro
252,Metro
253,Metro
254,Metro
255,Metro
256,Metro
257,Metro
258,Metro
259,Metro
260,Metro
261,Metro
262,Metro
263,Metro
264,Metro
265,Metro
266,Metro
267,Metro
268,Metro
269,Metro
270,Metro
271,Metro
272,Metro
273,Metro
274,Metro
275,Metro
276,Metro
277,Metro
278,Metro
279,Metro
280,Metro
281,Metro
282,Metro
283,Metro
284,Metro
285,Metro
286,Metro
287,Metro
288,Metro
289,Metro
290,Metro
291,Metro
292,Metro
293,Metro
294,Metro
295,Metro
296,Metro
297,Metro
298,Metro
299,Metro
300,Metro
301,Metro
302,Metro
303,Metro
304,Metro
305,Metro
306,Metro
307,Metro
308,Metro
309,Metro
310,Metro
311,Metro
312,Metro
313,Metro
314,Metro
315,Metro
316,Metro
317,Metro
318,Metro
319,Metro
320,Metro
321,Metro
322,Metro
323,Metro
324,Metro
325,Metro
326,Metro
327,Metro
328,Metro
329,Metro
330,Metro
331,Metro
332,Metro
333,Metro
334,Metro
335,Metro
336,Metro
337,Metro
338,Metro
339,Metro
340,Metro
341,Metro
342,Metro
343,Metro
344,Metro
345,Metro
346,Metro
347,Metro
348,Metro
349,Metro
350,Metro
351,Metro
352,Metro
353,Metro
354,Metro
355,Metro
356,Metro
357,Metro
358,Metro
359,Metro
360,Metro
361,Metro
362,Metro
363,Metro
364,Metro
365,Metro
366,Metro
367,Metro
368,Metro
369,Metro
370,Metro
371,Metro
372,Metro
373,Metro
374,Metro
375,Metro
376,Metro
377,Metro
378,Metro
379,Metro
380,Metro
381,Metro
382,Metro
383,Metro
384,Metro
385,Metro
386,Metro
387,Metro
388,Metro
389,Metro
390,Metro
391,Metro
392,Metro
393,Metro
394,Metro
395,Metro
396,Metro
397,Metro
398,Metro
399,Metro
400,Metro
401,Metro
402,Metro
403,Metro
404,Metro
405,Metro
406,Metro
407,Metro
408,Metro
409,Metro
410,Metro
411,Metro
412,Metro
413,Metro
414,Metro
415,Metro
416,Metro
417,Metro
418,Metro
419,Metro
420,Metro
421,Metro
422,Metro
423,Metro
424,Metro
425,Metro
426,Metro
427,Metro
428,Metro
429,Metro
430,Metro
431,Metro
432,Metro
433,Metro
434,Metro
435,Metro
436,Metro
437,Metro
438,Metro
439,Metro
440,Metro
441,Metro
442,Metro
443,Metro
444,Metro
445,Metro
446,Metro
447,Metro
448,Metro
449,Metro
450,Metro
451,Metro
452,Metro
453,Metro
454,Metro
455,Metro
456,Metro
457,Metro
458,Metro
459,Metro
460,Metro
461,Metro
462,Metro
463,Metro
464,Metro
465,Metro
466,Metro
467,Metro
468,Metro
469,Metro
470,Metro
