table,field,value,text
Tour,pdpurp,0,None/Home
Tour,pdpurp,1,Work
Tour,pdpurp,2,School
Tour,pdpurp,3,Escort
Tour,pdpurp,4,Personal Business
Tour,pdpurp,5,Shop
Tour,pdpurp,6,Meal
Tour,pdpurp,7,Social
Tour,pdpurp,8,Social
Tour,pdpurp,9,Personal Business
Tour,pdpurp,10,Change Mode Inserted Purpose
Tour,toadtyp,1,Home
Tour,toadtyp,2,Usual Workplace
Tour,toadtyp,3,Usual School
Tour,toadtyp,4,Other
Tour,toadtyp,5,Missing
Tour,toadtyp,6,Change Mode Inserted Location
Tour,tdadtyp,1,Home
Tour,tdadtyp,2,Usual Workplace
Tour,tdadtyp,3,Usual School
Tour,tdadtyp,4,Other
Tour,tdadtyp,5,Missing
Tour,tdadtyp,6,Change Mode Inserted Location
Tour,tmodetp,1,Walk
Tour,tmodetp,2,Bike
Tour,tmodetp,3,SOV
Tour,tmodetp,4,HOV2
Tour,tmodetp,5,HOV3+
Tour,tmodetp,6,Transit
Tour,tmodetp,7,Park
Tour,tmodetp,8,School Bus
Tour,tmodetp,9,Other
Tour,tpathtp,0,None
Tour,tpathtp,1,Full Network
Tour,tpathtp,2,No-Toll Network
Tour,tpathtp,3,Local Bus
Tour,tpathtp,4,Light Rail
Tour,tpathtp,5,Premium Bus
Tour,tpathtp,6,Commuter Rail
Tour,tpathtp,7,Ferry
Household,hownrent,1,Own
Household,hownrent,2,Rent
Household,hownrent,3,Other
Household,hownrent,9,Missing
Household,hrestype,1,Detached Single House
Household,hrestype,2,Duplex/Triplex/Rowhouse
Household,hrestype,3,Apartment/Condo
Household,hrestype,4,Mobile Home/Trailer
Household,hrestype,5,Dorm Room/Rented room
Household,hrestype,6,Other
Household,hrestype,9,Missing
Household,samptype,1,Random Proportional
Household,samptype,2,Transit Area Enrichment
Household,samptype,3,Ferry Intercept
Household,samptype,4,Park and Ride Intercept
Person,pptyp,1,Full-Time Worker
Person,pptyp,2,Part-Time Worker
Person,pptyp,3,Non-Working Adult Age 65+
Person,pptyp,4,Non-Working Adult Age <65
Person,pptyp,5,University Student
Person,pptyp,6,High School Student Age 16+
Person,pptyp,7,Child Age 5-15
Person,pptyp,8,Child Age 0-4
Person,pgend,1,Male
Person,pgend,2,Female
Person,pgend,9,Missing
Person,pwtyp,0,Not a Paid Worker
Person,pwtyp,1,Paid Full-Time Worker
Person,pwtyp,2,Paid Part-Time Worker
Person,pstyp,0,Not a Student
Person,pstyp,1,Full-Time Student
Person,pstyp,2,Part-Time Student
Person,puwmode,0,None 4+ Days/Week
Person,puwmode,1,Walk
Person,puwmode,2,Bike
Person,puwmode,3,Drive Alone
Person,puwmode,4,Shared Ride 2
Person,puwmode,5,Shared Ride 3+
Person,puwmode,6,Walk to Transit
Person,puwmode,7,Park and Ride
Person,puwarrp,1,Before 6 am
Person,puwarrp,2,Between 6 and 6:30 am
Person,puwarrp,3,Between 6:30 and 7 am
Person,puwarrp,4,Between 7 and 7:30 am
Person,puwarrp,5,Between 7:30 and 8 am
Person,puwarrp,6,Between 8 and 8:30 am
Person,puwarrp,7,Between 8:30 and 9 am
Person,puwarrp,8,After 9 am
Person,puwarrp,9,None 4+ Days/Week
Person,puwdepp,1,Before 3:30 pm
Person,puwdepp,2,Between 3:30 and 4 pm
Person,puwdepp,3,Between 4 and 4:30 pm
Person,puwdepp,4,Between 4:30 and 5 pm
Person,puwdepp,5,Between 5 and 5:30 pm
Person,puwdepp,6,Between 5:30 and 6 pm
Person,puwdepp,7,Between 6 and 6:30 pm
Person,puwdepp,8,After 6:30 pm
Person,puwdepp,9,None 4+ Days/Week
Person,pproxy,1,No Proxy
Person,pproxy,2,Proxy
Person,pproxy,3,Mailed Diary
Person,pproxy,8,Missing
HouseholdDay,dow,0,Sunday
HouseholdDay,dow,1,Monday
HouseholdDay,dow,2,Tuesday
HouseholdDay,dow,3,Wednesday
HouseholdDay,dow,4,Thursday
HouseholdDay,dow,5,Friday
HouseholdDay,dow,6,Saturday
Trip,opurp,0,None/Home
Trip,opurp,1,Work
Trip,opurp,2,School
Trip,opurp,3,Escort
Trip,opurp,4,Personal Business
Trip,opurp,5,Shop
Trip,opurp,6,Meal
Trip,opurp,7,Social
Trip,opurp,8,Recreational
Trip,opurp,9,medical
Trip,opurp,10,Change Mode Inserted Purpose
Trip,dpurp,0,None/Home
Trip,dpurp,1,Work
Trip,dpurp,2,School
Trip,dpurp,3,Escort
Trip,dpurp,4,Personal Business
Trip,dpurp,5,Shop
Trip,dpurp,6,Meal
Trip,dpurp,7,Social
Trip,dpurp,8,Recreational
Trip,dpurp,9,medical
Trip,dpurp,10,Change Mode Inserted Purpose
Trip,oadtyp,1,Home
Trip,oadtyp,2,Usual Workplace
Trip,oadtyp,3,Usual School
Trip,oadtyp,4,Other
Trip,oadtyp,5,Missing
Trip,oadtyp,6,Change Mode Inserted Location
Trip,dadtyp,1,Home
Trip,dadtyp,2,Usual Workplace
Trip,dadtyp,3,Usual School
Trip,dadtyp,4,Other
Trip,dadtyp,5,Missing
Trip,dadtyp,6,Change Mode Inserted Location
Trip,mode,1,Walk
Trip,mode,2,Bike
Trip,mode,3,SOV
Trip,mode,4,HOV2
Trip,mode,5,HOV3+
Trip,mode,6,Transit
Trip,mode,8,School Bus
Trip,mode,9,Other
Trip,pathtype,0,None
Trip,pathtype,1,Full Network
Trip,pathtype,2,No-Toll Network
Trip,pathtype,3,Local Bus
Trip,pathtype,4,Light Rail
Trip,pathtype,5,Premium Bus
Trip,pathtype,6,Commuter Rail
Trip,pathtype,7,Ferry
