tod,TP_4k,arterial_vmt,connectors_vmt,highway_vmt,arterial_vht,connectors_vht,highway_vht,arterial_delay,connectors_delay,highway_delay
9to10,md,1953481.875,277619.375,2459344.0,153502.1875,18356.71875,88558.640625,99483.648438,-8e-06,44787.242188
16to17,pm,2926597.25,392610.3125,3067389.5,153749.03125,26105.320312,121709.742188,71984.601562,-4e-06,66923.835938
15to16,pm,3040722.75,448495.65625,3042720.0,158263.84375,29840.779297,111508.71875,73195.960938,-3e-06,57071.523438
20to5,ni,3919031.75,633611.8125,5413070.5,160760.34375,42161.832031,112507.828125,53203.417969,-9e-06,16106.321289
7to8,am,2550575.25,316456.03125,2891201.75,127306.484375,21021.175781,109419.515625,56548.660156,-4e-06,57895.371094
14to15,md,2366247.5,376347.25,2681379.5,112304.09375,25003.501953,78507.140625,46276.078125,-4e-06,30637.582031
8to9,am,1884484.75,264992.46875,2453246.25,84829.289062,17590.347656,68894.515625,32668.107422,-7e-06,25124.882812
18to20,ev,4662035.5,735592.625,4751052.5,242411.34375,48991.425781,138062.28125,112301.164062,-6e-06,52919.113281
17to18,pm,3670076.5,464629.9375,3369321.5,223727.109375,30906.839844,173061.078125,120920.109375,-9e-06,112822.757812
6to7,am,1677371.75,196043.1875,2495092.0,73172.453125,13004.56543,75893.757812,27299.546875,-5e-06,31625.283203
5to6,am,688305.375,102836.382812,1310936.625,26857.408203,6834.080078,25726.658203,8126.102051,0.0,2554.884766
10to14,md,8548834.0,1413595.875,10013346.0,393307.8125,93980.835938,270522.21875,154650.84375,-2e-05,91692.335938
