origin,destination,best_guess,optimistic,pessimistic,time,date,d_city,o_city,dtaz,otaz
"2349 Dakota St, Everett, WA 98201, USA","3200 184th St SW, Lynnwood, WA 98037, USA",20.15,18.2833333333,23.1666666667,am,10/18/2017,Lynnwood,Everett,2570,2286
"2349 Dakota St, Everett, WA 98201, USA","501-505 E 25th St, Tacoma, WA 98421, USA",80.1166666667,69.7166666667,105.5,am,10/18/2017,Tacoma,Everett,3108,2286
"2349 Dakota St, Everett, WA 98201, USA","505 Madison St, Seattle, WA 98104, USA",49.9666666667,44.3166666667,76.1166666667,am,10/18/2017,Seattle,Everett,532,2286
"2349 Dakota St, Everett, WA 98201, USA","940-1002 110th Ave NE, Bellevue, WA 98004, USA",45.0166666667,37.2,67.9,am,10/18/2017,Bellevue,Everett,1552,2286
"3200 184th St SW, Lynnwood, WA 98037, USA","2349 Dakota St, Everett, WA 98201, USA",19.4666666667,17.85,21.8,am,10/18/2017,Everett,Lynnwood,2286,2570
"3200 184th St SW, Lynnwood, WA 98037, USA","501-505 E 25th St, Tacoma, WA 98421, USA",73.6666666667,63.8833333333,103.083333333,am,10/18/2017,Tacoma,Lynnwood,3108,2570
"3200 184th St SW, Lynnwood, WA 98037, USA","505 Madison St, Seattle, WA 98104, USA",43.6666666667,36.25,70.7166666667,am,10/18/2017,Seattle,Lynnwood,532,2570
"3200 184th St SW, Lynnwood, WA 98037, USA","940-1002 110th Ave NE, Bellevue, WA 98004, USA",39.7,31.3,62.1333333333,am,10/18/2017,Bellevue,Lynnwood,1552,2570
"501-505 E 25th St, Tacoma, WA 98421, USA","2349 Dakota St, Everett, WA 98201, USA",86.7,74.6166666667,124.666666667,am,10/18/2017,Everett,Tacoma,2286,3108
"501-505 E 25th St, Tacoma, WA 98421, USA","3200 184th St SW, Lynnwood, WA 98037, USA",77.45,65.3333333333,115.483333333,am,10/18/2017,Lynnwood,Tacoma,2570,3108
"501-505 E 25th St, Tacoma, WA 98421, USA","505 Madison St, Seattle, WA 98104, USA",56.1666666667,46.9333333333,89.4,am,10/18/2017,Seattle,Tacoma,532,3108
"501-505 E 25th St, Tacoma, WA 98421, USA","940-1002 110th Ave NE, Bellevue, WA 98004, USA",62.2166666667,49.1166666667,101.083333333,am,10/18/2017,Bellevue,Tacoma,1552,3108
"505 Madison St, Seattle, WA 98104, USA","2349 Dakota St, Everett, WA 98201, USA",34.25,30.7666666667,40.6166666667,am,10/18/2017,Everett,Seattle,2286,532
"505 Madison St, Seattle, WA 98104, USA","3200 184th St SW, Lynnwood, WA 98037, USA",24.6,21.3,30.7833333333,am,10/18/2017,Lynnwood,Seattle,2570,532
"505 Madison St, Seattle, WA 98104, USA","501-505 E 25th St, Tacoma, WA 98421, USA",34.5333333333,31.5833333333,40.7,am,10/18/2017,Tacoma,Seattle,3108,532
"505 Madison St, Seattle, WA 98104, USA","940-1002 110th Ave NE, Bellevue, WA 98004, USA",22.0333333333,17.1333333333,29.3,am,10/18/2017,Bellevue,Seattle,1552,532
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","2349 Dakota St, Everett, WA 98201, USA",32.65,30.1166666667,37.25,am,10/18/2017,Everett,Bellevue,2286,1552
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","3200 184th St SW, Lynnwood, WA 98037, USA",25.1333333333,22.7333333333,29.0666666667,am,10/18/2017,Lynnwood,Bellevue,2570,1552
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","501-505 E 25th St, Tacoma, WA 98421, USA",40.3666666667,36.75,47.8333333333,am,10/18/2017,Tacoma,Bellevue,3108,1552
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","505 Madison St, Seattle, WA 98104, USA",25.6333333333,19.4833333333,41.4333333333,am,10/18/2017,Seattle,Bellevue,532,1552
"2349 Dakota St, Everett, WA 98201, USA","3200 184th St SW, Lynnwood, WA 98037, USA",21.1333333333,18.4166666667,26.0333333333,pm,10/18/2017,Lynnwood,Everett,2570,2286
"2349 Dakota St, Everett, WA 98201, USA","501-505 E 25th St, Tacoma, WA 98421, USA",91.1166666667,80.7333333333,109.233333333,pm,10/18/2017,Tacoma,Everett,3108,2286
"2349 Dakota St, Everett, WA 98201, USA","505 Madison St, Seattle, WA 98104, USA",52.5333333333,44.4833333333,69.5166666667,pm,10/18/2017,Seattle,Everett,532,2286
"2349 Dakota St, Everett, WA 98201, USA","940-1002 110th Ave NE, Bellevue, WA 98004, USA",34.2166666667,30.35,40.9833333333,pm,10/18/2017,Bellevue,Everett,1552,2286
"3200 184th St SW, Lynnwood, WA 98037, USA","2349 Dakota St, Everett, WA 98201, USA",27.6333333333,22.4166666667,37.4166666667,pm,10/18/2017,Everett,Lynnwood,2286,2570
"3200 184th St SW, Lynnwood, WA 98037, USA","501-505 E 25th St, Tacoma, WA 98421, USA",84.45,74.5166666667,103.366666667,pm,10/18/2017,Tacoma,Lynnwood,3108,2570
"3200 184th St SW, Lynnwood, WA 98037, USA","505 Madison St, Seattle, WA 98104, USA",44.1166666667,35.5833333333,60.7,pm,10/18/2017,Seattle,Lynnwood,532,2570
