index,PSRC_Rte_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1001,0,0,0,0,21,131,296,262,128,96,106,92,100,103,180,246,265,164,90,67,32,24,21,0
1,1002,9,0,0,25,118,284,486,452,316,319,283,294,287,417,405,486,447,269,208,162,130,102,60,54
2,1003,10,0,0,0,59,361,471,628,422,455,452,485,447,517,538,443,531,278,153,118,111,43,39,13
3,1004,6,0,0,9,146,255,615,288,270,258,252,284,260,320,400,448,312,275,169,142,116,90,57,22
4,1005,0,0,0,41,146,532,796,516,457,287,407,443,436,404,602,786,618,484,294,231,146,121,67,55
5,1007,42,52,22,57,235,700,765,788,829,867,889,944,905,1128,1095,1105,897,561,511,372,299,207,143,54
6,1008,0,0,0,12,164,562,943,795,609,536,608,583,0,776,785,871,767,527,370,373,181,105,110,48
7,1009,0,0,0,0,48,174,413,216,282,177,186,196,182,202,235,259,145,67,0,0,0,0,0,0
8,1010,5,0,0,0,45,162,396,427,296,257,260,283,260,206,372,445,514,293,128,119,79,73,64,24
9,1011,11,0,0,25,62,125,343,250,172,157,180,192,0,327,332,352,332,232,155,88,106,40,22,19
10,1012,0,0,0,0,27,213,529,422,234,170,177,180,167,227,270,314,290,96,68,41,30,9,6,0
11,1013,0,0,0,0,67,151,380,161,106,127,144,162,155,222,269,393,306,177,149,77,96,54,39,6
12,1014,7,0,0,0,62,162,245,151,135,137,136,132,146,203,175,238,254,142,106,108,58,23,20,12
13,1015,0,0,0,0,0,81,343,83,0,0,0,0,0,0,67,252,212,0,0,0,0,0,0,0
14,1016,9,0,0,26,116,199,483,333,268,238,285,272,292,353,343,354,407,211,169,163,108,78,57,20
15,1017,0,0,0,0,0,99,275,0,0,0,0,0,0,0,36,140,173,0,0,0,0,0,0,0
16,1018,0,0,0,0,0,118,235,78,0,0,0,0,0,0,46,218,172,42,0,0,0,0,0,0
17,1019,0,0,0,0,0,44,39,38,0,0,0,0,0,0,31,72,65,0,0,0,0,0,0,0
18,1021,10,0,0,28,138,387,553,344,222,209,225,238,234,280,408,535,501,264,169,96,72,66,33,18
19,1022,0,0,0,0,0,5,28,6,13,13,11,11,10,19,15,14,10,9,8,4,0,0,0,0
20,1024,0,0,0,0,117,199,223,176,114,91,103,111,116,149,173,297,182,157,82,60,25,22,0,0
21,1025,0,0,0,0,0,70,53,60,34,36,40,37,44,51,52,34,34,43,0,0,0,0,0,0
22,1026,10,0,0,0,59,258,547,357,150,107,101,117,124,126,266,399,440,208,111,100,85,65,40,4
23,1027,0,0,0,0,35,78,165,123,79,65,79,87,64,127,97,123,119,50,6,27,25,9,0,0
24,1028,0,0,0,24,120,405,519,417,159,104,110,100,143,154,238,551,485,197,142,102,82,59,20,22
25,1029,0,0,0,0,0,151,290,164,29,25,0,0,0,0,35,194,215,143,0,0,0,0,0,0
26,1030,0,0,0,0,7,56,75,55,54,82,70,74,89,101,88,98,100,77,63,66,57,52,33,11
27,1031,0,0,0,0,12,59,205,221,140,110,134,132,121,165,231,182,189,138,45,0,0,0,0,0
28,1032,0,0,0,0,21,132,210,187,167,136,124,129,147,165,222,314,191,146,160,138,86,66,31,11
29,1033,0,0,0,0,51,194,198,148,85,57,60,54,61,77,120,169,246,54,37,25,23,16,0,0
30,1036,30,19,0,64,232,528,599,594,630,624,713,726,745,935,988,1083,717,463,291,222,188,131,65,37
31,1037,0,0,0,0,19,51,33,0,0,0,0,0,0,0,0,44,34,0,0,0,0,0,0,0
32,1040,0,0,0,0,141,412,642,591,466,430,505,473,563,644,623,721,529,423,272,194,144,114,15,33
33,1041,16,0,0,26,181,557,1004,847,444,461,497,451,425,590,833,991,966,515,265,247,195,127,57,40
34,1043,22,5,0,0,132,313,518,567,398,361,417,388,423,499,630,719,723,580,374,219,163,119,121,57
35,1044,46,0,0,0,81,239,570,440,498,360,385,422,469,434,504,712,712,509,322,241,207,148,91,54
36,1047,0,0,0,1,16,58,120,112,57,16,30,34,16,32,25,64,108,76,22,26,15,11,0,0
37,1048,0,0,0,0,109,622,1101,888,675,594,645,650,632,1250,915,1098,821,566,452,401,323,119,121,16
38,1049,28,22,0,6,62,228,503,510,502,353,419,473,429,520,622,607,596,538,497,379,333,172,124,87
39,1050,0,0,0,0,61,239,185,122,102,101,118,122,161,172,159,219,146,95,85,35,32,13,11,0
40,1055,0,0,0,0,0,66,197,51,0,0,0,0,0,0,0,137,184,0,0,0,0,0,0,0
41,1056,0,0,0,0,20,80,161,75,0,0,0,0,0,0,87,92,90,77,0,0,0,0,0,0
42,1057,0,0,0,0,0,40,75,41,0,0,0,0,0,0,34,84,81,0,0,0,0,0,0,0
43,1060,0,0,0,20,81,419,373,319,308,318,307,312,348,452,434,438,242,179,156,102,46,26,21,0
44,1061,0,0,0,0,0,12,7,12,12,13,17,16,20,22,16,18,16,16,17,10,8,6,0,0
45,1062,0,0,0,0,0,41,87,28,19,0,0,0,0,33,34,40,8,0,0,0,0,0,0,0
46,1064,0,0,0,0,56,228,145,0,0,0,0,0,0,0,120,185,91,0,0,0,0,0,0,0
47,1065,0,0,0,0,36,141,316,295,166,126,148,162,135,235,265,309,277,185,123,127,80,33,20,0
