Description,Code,AM Observed,MD Observed,
1 KINNEAR-SEA CBD,MK,540.8,540.8,
2 W Q ANN-MADRONA,MK,1400.3,1400.3,
3 N Q ANNE-MDRONA,MK,1299.7,1299.7,
4 E Q AN-JUDKN PK,MK,1217.1,1217.1,
5 SH CC-GRWD-SCBD,MK,1388.2,1388.2,
7 RNR BCH-SCBD EX,MK,1981.7,1981.7,
8 SEACTR-CAP-RANR,MK,1485.6,1485.6,
9 RAINR BCH-BRDWY,MK,578,578,
10 CAP HILL-SCBD ,MK,855,855,
11 MADISN PK-SCBD,MK,640,640,
12 CAP HILL-SCBD ,MK,1384.5,1384.5,
13 SPU-SEA CBD SB,MK,607.5,607.5,
14 SUMMIT-MT BAKR,MK,1046.2,1046.2,
15 CROWN HLL-SCBD,MK,1488.5,1488.5,
16 NGT-WLFRD-SCBD,MK,819.3,819.3,
17 LYLH-BLRD-SCBD,MK,833.9,833.9,
18 LOYAL HTS-SCBD,MK,1066.3,1066.3,
19 W MAGNOLIA-CBD,MK,122,122,
21 ARBOR HTS-SCBD,MK,870.2,870.2,
22 WHITE CTR-SCBD,MK,425.7,425.7,
23 WHITE CTR-SCBD,MK,338.4,338.4,
24 MAGNOLIA-SCBD ,MK,376.9,376.9,
25 LRLHST-UW-SCBD,MK,293.8,293.8,
26 E GRNLK-SEACBD,MK,840.2,840.2,
27 COLMAN PK-SCBD,MK,337.4,337.4,
28 WHTIR HTS-SCBD,MK,1129.6,1129.6,
30 Sand Point to Udist,MK,449.1,449.1,
31 UW-FRMNT-MAGNL,MK,320.7,320.7,
33 MAGNLIA-SEACBD,MK,525.5,525.5,
34 RNR BC-SCBD EX,MK,104.3,104.3,
35 HARBOR IS-SCBD,MK,22.3,22.3,
36 RAINR BCH-SCBD,MK,1678.6,1678.6,
37 AL JCT-SCBD EX,MK,191.1,191.1,
38 RNR-BC HL-SODO,MK,6.1,6.1,
39 RAINR BCH-SCBD,MK,391.5,391.5,
41 LKCTY-NGT-SCBD,MK,2096.9,2096.9,
42 RAINER VW-SCBD,MK,19.5,19.5,
43 UW-CAP HL-SCBD,MK,950.5,950.5,
44 BLLRD-UW-MNTLK,MK,938.9,938.9,
45 Q AN-WLNFRD-UW,MK,79,79,
46 SHLSHL-BLRD-UW,MK,100.8,100.8,
48 RAIN BC-LYL HT,MK,2033.9,2033.9,
49 UW-BRDWAY-SCBD,MK,952.4,952.4,
51 ADM-JCT CIRCLE,MK,44,44,
53 W SEA CIRCL CW,MK,7.4,7.4,
54 WHTCR-JCT-SCBD,MK,873.6,873.6,
55 ADMRL-JCT-SCBD,MK,542.2,542.2,
56 ALKI-SEACBD EX,MK,395.7,395.7,
57 AKJCT-ADM-SCBD,MK,161.3,161.3,
60 WTCR-GTWN-BDWY,MK,788.6,788.6,
64 LKCT-WDGW-SCBD,MK,389,389,
65 LKCTY-WDGWD-UW,MK,519,519,
66 NGATE-UW-SCBD ,MK,617.9,617.9,
67 NORTHGTE TC-UW,MK,306.8,306.8,
68 NORTHGATE-UW S,MK,336,336,
70 UW-SEATTLE CBD,MK,847.3,847.3,
71 WDG-I5-SCBD EX,MK,614.1,614.1,
72 LKC-I5-SCBD EX,MK,751.3,751.3,
73 JCPK-I5-SEA EX,MK,721.5,721.5,
74 NOAA-UW-LWR QA,MK,362.4,362.4,
75 BALLRD-NGAT-UW,MK,1048.7,1048.7,
76 WEDGWOOD-SCBD ,MK,406.7,406.7,
77 JCK PK-SCBD EX,MK,343.3,343.3,
79 LKCITY-SCBD EX,MK,168.1,168.1,
99 WATRFRNT STCAR,MK,0,0,
101 RENTN TC-SCBD,MK,830.2,830.2,
102 Fairwood to S,MK,168.9,168.9,
105 RNT-RNT HGLND,MK,212,212,
106 RNTN-SKY-SCBD,MK,924.5,924.5,
107 RNTN-RANR BCH,MK,265.3,265.3,
110 N RNTN-SW RNT,MK,67.6,67.6,
111 LK KTHLN-SCBD,MK,324.3,324.3,
113 SHORWOOD-SCBD,MK,183.9,183.9,
114 RN HL-NWC-SEA,MK,133.9,133.9,
116 FAUNTLRY-SCBD,MK,194,194,
118 TAHQ-VASH-SEA,MK,11,11,
119 DKTN-VASH-SEA,MK,26.2,26.2,
120 BUR-DELR-SCBD,MK,1326.8,1326.8,
121 HILNE CC-SCBD,MK,340.9,340.9,
122 HILNE CC-SCBD,MK,260.8,260.8,
123 GREG HTS-SCBD,MK,117.5,117.5,
124 Tukwila Intl ,MK,601.4,601.4,
125 SHWD-WTCT-SEA,MK,601.4,601.4,
128 W SEA-SOCENTR,MK,506.2,506.2,
129 TUKWILA-INTL ,MK,14.7,14.7,
131 BURIEN-SEACBD,MK,288.6,288.6,
132 BURIEN-SEACBD,MK,513.7,513.7,
133 BURIEN-UW NB*,MK,112.2,112.2,
134 BURIEN-SEACBD,MK,120.8,120.8,
139 GRG HT-BURIEN,MK,42.9,42.9,
140 BUR-SEATC-RNT,MK,364.8,364.8,
143 BL DI-RNT-SEA,MK,251.8,251.8,
148 FAIRWD-RENTON,MK,119.3,119.3,
149 BLK DIA-RENTN,MK,10.5,10.5,
150 AUB-KENT-SCBD,MK,1124.2,1124.2,
152 ENUM-AUB-SCBD,MK,107.5,107.5,
153 KENT-RENTON N,MK,170.7,170.7,
154 AUBURN-BOEING,MK,29.2,29.2,
155 FAIRWD-SOCNTR,MK,80.8,80.8,
156 Scnter-S Tac-,MK,55.1,55.1,
157 Lake Meridian,MK,85.3,85.3,
158 LK MRIDN-SCBD,MK,172,172,
159 TIMBERLN-SCBD,MK,215.4,215.4,
161 Lk Merid-Kent,MK,158.7,158.7,
162 KENT TC-SCBD ,MK,137.1,137.1,
164 GR RV CC-KENT,MK,208.5,208.5,
166 DES MOIN-KENT,MK,247.7,247.7,
167 AU-KNT-405-UW,MK,160.1,160.1,
168 TIMBERLN-KENT,MK,161.5,161.5,
169 KNT TC-RNT TC,MK,377.2,377.2,
173 FEDWAY-BOEING,MK,37.3,37.3,
174 FDWY-STAC-SEA,MK,748,748,
175 W FED WY-SCBD,MK,93.5,93.5,
177 FEDWY TC-SCBD,MK,313.8,313.8,
179 TWIN LKS-SCBD,MK,195.4,195.4,
180 Se Auburn-Ken,MK,719.1,719.1,
181 FEDWAY-AUBURN,MK,305.6,305.6,
182 NE TAC-FED WY,MK,59.8,59.8,
183 FEDRL WY-KENT,MK,168.2,168.2,
187 TWIN LK-FEDWY,MK,98.8,98.8,
190 STAR LK-SCBD ,MK,153.9,153.9,
192 STAR LK-SCBD ,MK,94.4,94.4,
196 S FDWY PR-SEA,MK,143.7,143.7,
197 FEDERAL WY-UW,MK,272.7,272.7,
200 ISSAQ-N ISSAQ,MK,61.3,61.3,
201 S MI-MERCR IS,MK,4.8,4.8,
202 MERCR IS-SCBD,MK,132.1,132.1,
203 N MERCER ISLN,MK,24.1,24.1,
204 S MI-MERCR IS,MK,6.5,6.5,
205 M I-1ST HL-UW,MK,87.5,87.5,
206 NWPRT HS-NEWC,MK,36.5,36.5,
207 NWPRT HS-EGTE,MK,38.4,38.4,
208 NWPRT HS-EGTE,MK,36.7,36.7,
209 NO BND-ISSAQH,MK,53,53,
210 ISSQ-EGT-SCBD,MK,85.1,85.1,
211 IssaqHighland,MK,113,113,
212 EGTE P&R-SCBD,MK,659.5,659.5,
213 Mercer I PnR Coven,MK,0,0,
214 NBND-ISS-SCBD,MK,318,318,
215 N Bend to Iss,MK,135.5,135.5,
216 SAMMSH-SEACBD,MK,287.9,287.9,
217 N IS-EGT-SCBD,MK,142.6,142.6,
218 ISS HLND-SCBD,MK,701.7,701.7,
219 FACT-NEWCS CW,MK,57.3,57.3,
221 Ed Hill-Xroad,MK,234.1,234.1,
222 OVRL-EGT-BELV,MK,124.5,124.5,
225 OVLK-EGT-SCBD,MK,89.4,89.4,
229 OVLK-EGT-SCBD,MK,160.3,160.3,
230 KNGSG-BTC-RED,MK,428.6,428.6,
232 DUVLL-RED-BEL,MK,135.2,135.2,
233 AVNDL-OVLK-BL,MK,164.5,164.5,
234 KENMR-KRK-BEL,MK,279.4,279.4,
236 WOOD-KNGT-KRK,MK,98.7,98.7,
237 Woodvil - BellTC,MK,43.7,43.7,
238 BTHL-KNGT-KRK,MK,172.9,172.9,
240 BEL-NEWC-RENT,MK,450.1,450.1,
242 NRTHCTY-OVRLK,MK,229.5,229.5,
243 JC PK-LKC-BEL,MK,114.6,114.6,
244 Kenmore P&R t,MK,120.3,120.3,
245 KRK-OVRLK-FCT,MK,478.2,478.2,
247 OVRLK-RNT-KNT,MK,27.7,27.7,
248 Avondl-Redmnd,MK,137.8,137.8,
249 BEL-OVRLK-RDM,MK,121.3,121.3,
250 RED-OVLK-SCBD,MK,114.5,114.5,
251 UW BTH-RD-KRK,MK,73,73,
252 KINGSGTE-SCBD,MK,274.5,274.5,
253 RED-OVRLK-BEL,MK,424.1,424.1,
255 JNTA-KRK-SCBD,MK,786.1,786.1,
256 OVERLK-SEACBD,MK,85.6,85.6,
257 BRICKYRD-SCBD,MK,182.2,182.2,
260 JUANTA-SEACBD,MK,89.8,89.8,
261 OVLK-BTC-SCBD,MK,145.6,145.6,
265 RED-HGHT-SCBD,MK,182.3,182.3,
266 REDMND-SEACBD,MK,141.1,141.1,
268 REDMN-SEACBD ,MK,114.3,114.3,
269 OVLK-SAHL-ISS,MK,144.2,144.2,
271 ISSQH-BELV-UW,MK,900.7,900.7,
272 EGT-CRSRDS-UW,MK,186,186,
277 JUANITA-UW WB,MK,129.4,129.4,
301 RICH BCH-SCBD,MK,749.3,749.3,
303 AUR VL-1ST HL,MK,543.7,543.7,
304 RICH BCH-SCBD,MK,196.7,196.7,
306 KENMOR-SEACBD,MK,189.7,189.7,
308 LKFOR PK-SCBD,MK,115.6,115.6,
311 DUV-WDNV-SCBD,MK,275.3,275.3,
312 UW BTH-SEACBD,MK,680.9,680.9,
316 Meridian PK SCBD,MK,364.9,364.9,
330 SHRL CC-LKCTY,MK,101.3,101.3,
331 KENMOR-SHR CC,MK,214.8,214.8,
342 ShorlnPnR RentonTC,MK,128.7,128.7,
345 SHRL CC-NGATE,MK,219.7,219.7,
346 AUR VIL-NGATE,MK,232.8,232.8,
347 MTLK TER-NGTE,MK,197.7,197.7,
348 RICH BCH-NGTE,MK,204,204,
355 ShrlnCC-SCBD,MK,398.9,398.9,
358 AUR VL-SEACBD,MK,1849.2,1849.2,
372 WDNVL-BTHL-UW,MK,894.6,894.6,
373 AURVL-15TH-UW,MK,285.2,285.2,
600 SCBD-GR HLT R,MK,11.4,11.4,
661 ROYAL BROUGH-,MK,3.6,3.6,
