,i,j,ij_id,CountID,Location,LocationDetail,FacilityType,observedTot,observedMed,observedHvy,LARGE_AREA,county,lat,lon
0,6436,6827,6436-6827,1,SR-9,n/o 53rd Ave NE,6,218.5,176,43,NW Snohomish,Snohomish,48.24432143,-122.161116
1,6827,6436,6827-6436,1,SR-9,n/o 53rd Ave NE,6,218.5,176,43,NW Snohomish,Snohomish,48.24432143,-122.161116
2,7784,7940,7784-7940,2,I-5,@ 236th St.  NE,1,8165,4083,4083,NW Snohomish,Snohomish,48.21006851,-122.2166785
3,7997,7744,7997-7744,2,I-5,@ 236th St.  NE,1,8165,4083,4083,NW Snohomish,Snohomish,48.20940118,-122.215634
4,8786,8836,8786-8836,3,SR-9,n/o Highland Dr.,2,1200,960,240,Everett,Snohomish,48.18847346,-122.1283739
5,8836,8786,8836-8786,3,SR-9,n/o Highland Dr.,2,1200,960,240,Everett,Snohomish,48.18847346,-122.1283739
6,8920,9282,8920-9282,4,I-5,s/o SR-530,1,8715,4358,4358,NW Snohomish,Snohomish,48.18107477,-122.1973348
7,9277,8917,9277-8917,4,I-5,s/o SR-530,1,8715,4358,4358,NW Snohomish,Snohomish,48.18114113,-122.1970157
8,21557,21656,21557-21656,5,SR-2,e/o I-5,1,8690,7900,790,Everett,Snohomish,47.9787135,-122.1812156
9,21630,21366,21630-21366,5,SR-2,e/o I-5,1,8690,7900,790,Everett,Snohomish,47.97958772,-122.1773421
10,3748,35642,3748-35642,6,SR-104,@ Hood Canal Bridge,5,1350,900,450,North Kitsap,Kitsap,47.85583172,-122.6166002
11,35642,3748,35642-3748,6,SR-104,@ Hood Canal Bridge,5,1350,900,450,North Kitsap,Kitsap,47.85583172,-122.6166002
12,51826,52483,51826-52483,8,SR-307,s/o NE Gunderson Rd.,6,1020,850,170,North Kitsap,Kitsap,47.76423955,-122.6149398
13,52483,51826,52483-51826,8,SR-307,s/o NE Gunderson Rd.,6,1020,850,170,North Kitsap,Kitsap,47.76423955,-122.6149398
14,50024,52834,50024-52834,9,SR-522,w/o SR-9,1,4250,3125,1125,Eastside King,King,47.77135525,-122.153782
15,50024,52834,50024-52834,9,SR-522,w/o SR-9,1,4250,3125,1125,Eastside King,King,47.77891628,-122.1487935
16,50024,52834,50024-52834,9,SR-522,w/o SR-9,1,4250,3125,1125,SW Snohomish,Snohomish,47.77135525,-122.153782
17,50024,52834,50024-52834,9,SR-522,w/o SR-9,1,4250,3125,1125,SW Snohomish,Snohomish,47.77891628,-122.1487935
18,52901,50140,52901-50140,9,SR-522,w/o SR-9,1,4250,3125,1125,Eastside King,King,47.76688907,-122.1564881
19,52901,50140,52901-50140,9,SR-522,w/o SR-9,1,4250,3125,1125,Eastside King,King,47.77855267,-122.1493711
20,52901,50140,52901-50140,9,SR-522,w/o SR-9,1,4250,3125,1125,SW Snohomish,Snohomish,47.76688907,-122.1564881
21,52901,50140,52901-50140,9,SR-522,w/o SR-9,1,4250,3125,1125,SW Snohomish,Snohomish,47.77855267,-122.1493711
22,44762,64063,44762-64063,10,SR-2,e/o NE Old Cascade Hwy,6,297,215,83,King Other,King,47.74457963,-121.4293236
23,44762,64063,44762-64063,10,SR-2,e/o NE Old Cascade Hwy,6,297,215,83,King Other,King,47.79554401,-121.5340482
24,44762,64063,44762-64063,10,SR-2,e/o NE Old Cascade Hwy,6,297,215,83,Snohomish Other,Snohomish,47.74457963,-121.4293236
25,44762,64063,44762-64063,10,SR-2,e/o NE Old Cascade Hwy,6,297,215,83,Snohomish Other,Snohomish,47.79554401,-121.5340482
26,64063,44762,64063-44762,10,SR-2,e/o NE Old Cascade Hwy,6,297,215,83,King Other,King,47.74457963,-121.4293236
